date,open,high,low,close,volume,ex_rate,
20190731,2036.46,2041.16,2010.95,2024.55,589386,1183.1,
20190730,2035.32,2044.59,2032.61,2038.68,547029,1181.6,
20190729,2059.13,2063.13,2025.01,2029.48,608670,1183.5,
20190726,2063.35,2068.16,2054.64,2066.26,589074,1184.8,
20190725,2085.67,2088.81,2061.08,2074.48,598634,1181.5,
20190724,2097.16,2105.68,2080.66,2082.3,851392,1177.9,
20190723,2095.76,2106.39,2095.38,2101.45,648123,1178.9,
20190722,2090.35,2099.34,2087.51,2093.34,332629,1178.3,
20190719,2080.21,2096.73,2076.51,2094.36,394904,1174.5,
20190718,2068.66,2073.2,2061.33,2066.55,446644,1178.8,
20190717,2079.91,2080.01,2063.49,2072.92,761626,1181.3,
20190716,2084.46,2096.67,2078.74,2091.87,682802,1177.6,
20190715,2083.39,2088.34,2073.1,2082.48,463519,1179.3,
20190712,2083.53,2090.43,2077.35,2086.66,403935,1179.2,
20190711,2070.59,2088.24,2070.21,2080.58,376675,1173.5,
20190710,2061.55,2068.2,2056.48,2058.78,355677,1181.6,
20190709,2070.35,2075.3,2052.03,2052.03,440122,1180.5,
20190708,2091.91,2092.54,2063.78,2064.17,515950,1182,
20190705,2111,2115.43,2096.23,2110.59,459391,1170.4,
20190704,2102.36,2108.8,2088.97,2108.73,446932,1168.6,
20190703,2120.75,2127.71,2093.32,2096.02,522709,1171.3,
20190702,2122.07,2130.86,2112.52,2122.02,460830,1166,
20190701,2147.24,2147.24,2126.87,2129.74,412291,1158.8,
20190628,2135.06,2139.24,2123.97,2130.62,537274,1154.7,
20190627,2120.73,2141.27,2118.22,2134.32,644900,1158.1,
20190626,2120.2,2128.25,2115.72,2121.85,736851,1156.6,
20190625,2125.74,2136.24,2115.11,2121.64,642999,1156.2,
20190624,2130.32,2134.48,2123.88,2126.33,669639,1156.5,
20190621,2132.38,2132.68,2120.15,2125.62,692027,1164,
20190620,2121.78,2131.77,2120.42,2131.29,1007158,1162.1,
20190619,2119.54,2126.74,2117.64,2124.78,862980,1176.1,
20190618,2089.31,2103.02,2089.31,2098.71,600964,1185.8,
20190617,2091.71,2103.59,2087.25,2090.73,561550,1186.5,
20190614,2096.32,2103.02,2087.47,2095.41,473370,1185.3,
20190613,2104.46,2108.01,2081.92,2103.15,553393,1183.1,
20190612,2111.66,2118.89,2104.41,2108.75,693507,1182.6,
20190611,2096.09,2114.57,2094.6,2111.81,550740,1180.4,
20190610,2087.37,2099.65,2075.51,2099.49,457640,1185.2,
20190607,2070.78,2081.16,2057.97,2072.33,368392,1181.4,
20190605,2084.16,2086.49,2065.71,2069.11,380156,1178.6,
20190604,2066.78,2072.19,2060.98,2066.97,435991,1182.8,
20190603,2031.03,2070.58,2029.17,2067.85,387145,1182.1,
20190531,2029.03,2048.9,2022.97,2041.74,439181,1190.9,
20190530,2024.33,2040.66,2023.91,2038.8,461850,1188.8,
20190529,2046.71,2046.71,2016.25,2023.32,380893,1193.9,
20190528,2044.77,2058.42,2038.52,2048.83,494478,1185.8,
20190527,2044.25,2055.13,2035.87,2044.21,351616,1184.5,
20190524,2047.3,2057.38,2035.98,2045.31,480647,1188.4,
20190523,2063.25,2065.86,2046.82,2059.59,509268,1189.2,
20190522,2068.65,2070.8,2048.01,2064.86,509974,1192.8,
20190521,2056.95,2076.47,2053.69,2061.25,526858,1194,
20190520,2066.53,2077.1,2051.69,2055.71,640195,1194.2,
20190517,2081.57,2082.83,2053.79,2055.8,537380,1195.7,
20190516,2094.88,2095.58,2062.44,2067.69,745164,1191.5,
20190515,2081.92,2100.01,2076.46,2092.78,577794,1188.6,
20190514,2060.24,2093.41,2056.74,2081.84,696195,1189.4,
20190513,2091.8,2101.09,2077.72,2079.01,505750,1187.5,
20190510,2118.42,2124.92,2090.39,2108.04,714766,1177,
20190509,2159.79,2164.98,2102.01,2102.01,743506,1179.8,
20190508,2151.34,2179.34,2151.34,2168.01,456333,1169.4,
20190507,2172.39,2179.51,2160.44,2176.99,484097,1166.5,
20190503,2209.44,2211.36,2192.36,2196.32,617877,1170,
20190502,2192.94,2217.03,2191.3,2212.75,369059,1165.7,
20190430,2213.43,2215.77,2186.33,2203.59,381413,1168.2,
20190429,2183.41,2216.43,2181.82,2216.43,380823,1158.5,
20190426,2178.13,2186.52,2168.15,2179.31,570172,1161,
20190425,2195.47,2200.89,2187.44,2190.5,441137,1160.5,
20190424,2229.75,2229.75,2190.29,2201.03,575099,1150.9,
20190423,2217.61,2223.92,2212.14,2220.51,481177,1141.8,
20190422,2218.5,2227.94,2207.25,2216.65,493984,1141.5,
20190419,2223.42,2225.37,2215.58,2216.15,525263,1136.9,
20190418,2248.8,2250.11,2210.43,2213.77,573343,1136.9,
20190417,2249.05,2252.05,2242.01,2245.89,452474,1134.8,
20190416,2241.06,2249.89,2235.72,2248.63,569056,1135.7,
20190415,2242.31,2251.22,2240.29,2242.88,404160,1133.1,
20190412,2221.1,2233.45,2212.88,2233.45,449634,1139.4,
20190411,2227.69,2230.41,2217.18,2224.44,402016,1139.4,
20190410,2206.2,2225.02,2203.82,2224.39,399694,1138.6,
20190409,2212.32,2221.62,2203.54,2213.56,414809,1142.1,
20190408,2217.66,2217.87,2202.49,2210.6,347910,1144.7,
20190405,2206.36,2214.82,2205.26,2209.61,517153,1136.6,
20190404,2201.04,2216.15,2198.66,2206.53,431013,1136.3,
20190403,2176.81,2203.29,2172.83,2203.27,358644,1134.3,
20190402,2177.2,2181.37,2171.84,2177.18,257453,1136.4,
20190401,2153.31,2171.49,2153.31,2168.28,263312,1133.7,
20190329,2138.45,2143.3,2124.07,2140.67,364618,1135.1,
20190328,2131.25,2136.4,2120.93,2128.1,288036,1136.8,
20190327,2147.19,2152.91,2132.42,2145.62,363169,1134.5,
20190326,2152.98,2153.9,2143.63,2148.8,301253,1133.4,
20190325,2158.8,2159.25,2143.7,2144.86,307071,1134.2,
20190322,2192.72,2195.42,2178.77,2186.95,333617,1130.1,
20190321,2183.11,2200.32,2173.7,2184.88,342747,1127.7,
20190320,2171.41,2177.19,2152.21,2177.1,317606,1130.4,
20190319,2183.03,2183.76,2171.05,2177.62,319702,1130.6,
20190318,2179.69,2183.9,2172.34,2179.49,257951,1132.1,
20190315,2152.96,2181.77,2152.59,2176.11,387135,1137.3,
20190314,2154.35,2158.34,2142.31,2155.68,341009,1134.8,
20190313,2152.66,2154.11,2134.16,2148.41,285600,1132.6,
20190312,2154.61,2161.69,2150.96,2157.18,355282,1129.8,
20190311,2140.29,2145.31,2125.54,2138.1,272103,1133.7,
20190308,2152.8,2159.67,2137.44,2137.44,313314,1136.2,
20190307,2173.19,2181.19,2155.19,2165.79,292578,1129,
20190306,2177.11,2179.01,2168.46,2175.6,328943,1128.8,
20190305,2183.35,2185.74,2171.33,2179.23,313145,1125.5,
20190304,2210.97,2216.02,2188.56,2190.66,373166,1124.9,
20190228,2231.58,2233.93,2195.44,2195.44,510022,1124.7,
20190227,2234.46,2237.77,2228.16,2234.79,301513,1119.1,
20190226,2230.37,2235.7,2221.76,2226.6,331962,1118.6,
20190225,2241.13,2241.76,2224.64,2232.56,339233,1121,
20190222,2222.32,2230.5,2217.08,2230.5,409310,1125.2,
20190221,2224.26,2234.31,2213.19,2228.66,382510,1125.2,
20190220,2216.74,2234.68,2213.83,2229.76,374342,1123.5,
20190219,2208.96,2213.87,2193.34,2205.63,389093,1128.2,
20190218,2207.36,2217.32,2203,2210.89,314370,1125.8,
20190215,2210.94,2210.94,2187.71,2196.09,400591,1128.7,
20190214,2195.92,2225.85,2186.09,2225.85,573362,1125.1,
20190213,2200,2203.71,2194.75,2201.48,421989,1121.7,
20190212,2182.71,2195.05,2178.59,2190.47,429940,1123.9,
20190211,2180.54,2181.58,2167.36,2180.73,406059,1124.7,
20190208,2192.01,2192.48,2171.96,2177.05,391029,1123.9,
20190207,2215.77,2215.79,2196.77,2203.42,427842,1124.1,
20190201,2211.93,2218.78,2201.41,2203.46,479378,1118.8,
20190131,2222.88,2222.88,2201.22,2204.85,545247,1112.7,
20190130,2183.49,2206.2,2177.88,2206.2,480390,1116.3,
20190129,2172.83,2183.36,2162.53,2183.36,552586,1116.5,
20190128,2184.41,2188.15,2169.17,2177.3,371618,1117.7,
20190125,2147.92,2178.01,2146.64,2177.73,410001,1121.3,
20190124,2127.88,2145.08,2125.48,2145.03,413652,1128.6,
20190123,2108.72,2131.05,2106.74,2127.78,408600,1127.3,
20190122,2126.03,2129.37,2108.91,2117.77,419441,1130.5,
20190121,2133.87,2134.17,2114.45,2124.61,398034,1128.1,
20190118,2116.43,2124.5,2113.44,2124.28,456737,1121.9,
20190117,2110.14,2117.43,2101.7,2107.06,475884,1122.5,
20190116,2098.65,2106.35,2091.92,2106.1,500078,1120.1,
20190115,2069.14,2098.01,2067.58,2097.18,439488,1120.7,
20190114,2070.49,2073.94,2059.46,2064.52,432890,1123,
20190111,2070.36,2076.99,2063.99,2075.57,380061,1116.4,
20190110,2065.73,2072.81,2057.16,2063.28,382877,1118.3,
20190109,2034.19,2068.23,2034.19,2064.71,386247,1122.1,
20190108,2038.68,2042.7,2023.59,2025.27,397831,1124.1,
20190107,2034.24,2048.06,2030.9,2037.1,440191,1118.6,
20190104,1992.4,2011.56,1984.53,2010.25,408990,1124.5,
20190103,2011.81,2014.72,1991.65,1993.7,427976,1127.7,
20190102,2050.55,2053.45,2004.27,2010,326367,1119,
20181228,2036.7,2046.97,2035.41,2041.04,352677,1115.7,
20181227,2032.09,2035.57,2021.39,2028.44,398021,1120,
